"utterance","keywords","relevances"
"こちらは解像度が高いのでお寺に14.0メガピクセルございますのであのそれで綺麗なのきめ細かいあの画像を撮影することができると思います","解像度;寺;画像;14.0","0.37519341707229614;0.33150508999824524;0.2933014929294586;0.0"
"こちらは重さが950 G ございます。","重さ;950","1.0;0.0"
"こちらは門の見た目もうちょっと本格的になってきますのではいあの気軽に言ってもないんですけどもこちらにも自動機能は付いてまして先ほど申しました18種類の撮影モードから半分の9種類の撮影モードってのがありますあと先ほどのと違うのはピクチャーエフェクトというものがありまして写真をぼやかしたりあのポスターのように大きく引き伸ばしたり水彩画のようにあの写真を見せれるという機能がこちらの方にはございます","写真;見た目;撮影モード;門;自動機能;撮影モード;機能;水彩画;もの;ポスター;方;半分;ピクチャーエフェクト;18;9","0.10997601598501205;0.09645625203847885;0.08951731026172638;0.08951397985219955;0.08434322476387024;0.08218766003847122;0.08147748559713364;0.06630818545818329;0.06389996409416199;0.06389996409416199;0.0621381476521492;0.060414139181375504;0.0498676598072052;0.0;0.0"
"こちらは預かりしておきますね。","",""
"こちらは預かりしてよろしいですかではこちらへどうぞ無線こちらホイールも預かりしましたのでお願いします。","無線こちらホイール","1.0"
"こちらは預かりしますこちらへどうぞ","",""
"こちらは預かりしますね。こちらの方にお名前とで孫の時にお願いします。","孫;方;名前","0.3788183331489563;0.35921040177345276;0.26197126507759094"
"こちらは預かりしますね。承りしますフィルムの現像お願いします","現像;フィルム","0.5842481851577759;0.4157518148422241"
"こちらは預かりしますねお願いします","",""
"こちらは預かりしますねはいではこちらへどうぞお借りしましたのでお願いします","",""
"こちらは預かりしますね少々お時間いただきますのでこちらにお名前と電話番号を記入頂きましたら出来上がり次第お電話させていただきます","名前;電話番号","0.562199592590332;0.43780040740966797"
"こちらは黒い食になっております。","食","1.0"
"こちらは黒とシルバーと白となっておりますはいでは在庫の方確認して参ります所長すいませんミラーレスの黒でセットお願いします","黒;シルバー;白;ミラーレス;所長;在庫;方","0.28800639510154724;0.1509660929441452;0.11740283668041229;0.1164550706744194;0.1127094030380249;0.10723010450601578;0.10723010450601578"
"こちらへ。キャノンの一眼レフになっておりますちょっと手に取ってみてください","キャノン;手;一眼レフ","0.3866163492202759;0.34779298305511475;0.26559069752693176"
"こちらへ。コンパクトデジタルカメラになったりませんか？","コンパクトデジタルカメラ","1.0"
"こちらへどうぞ。こちら8コンパクトデジタルカメラニコンクールピクス S 2800となっておりますこちらはあの大変あの軽くて持ちやすくて小さくて持ちやすいので価格も安くて大変だなカメラを始まる始められる方には大変適しております。","カメラ;こちら8コンパクトデジタルカメラニコンクールピクス S 2800;方;価格;8;2800","0.309613436460495;0.27987954020500183;0.24717192351818085;0.16333511471748352;0.0;0.0"
"こちらへどうぞ。敦賀ミラーレス一眼カメラソニーアルファ6000という商品です。","敦賀ミラーレス一眼カメラソニーアルファ6000;商品;6000","0.517630934715271;0.482369065284729;0.0"
"こちらほどプリンターとなっております使い方もわからないということですねはいではあの子は説明させて頂きますこちらの USB ポートに USB させて頂いてもよろしいでしょうか買っちゃったこれをちょっとそのままじゃなしにここのとこをずらしていただいたら言えそうな","プリンター;こと;使い方;とこ;USB ポート;子","0.19162051379680634;0.18166181445121765;0.17334304749965668;0.1625848412513733;0.149705708026886;0.14108407497406006"
"こちらまずちょうど中間のものになりますが SONY のミラーレス一眼カメラになります一度ご覧になってみてくださいはいどうぞ","中間;もの;SONY;ミラーレス一眼カメラ","0.32181647419929504;0.26054617762565613;0.2517749071121216;0.16586241126060486"
"こちらも5倍ズームが付いておりますのではいお顔はっきり取れたりしますね","ズーム;5","1.0;0.0"
"こちらも6800円と手に取りやすい価格となっております。","手;価格;6800円;6800","0.5787250399589539;0.42127496004104614;0.0;0.0"
"こちらもあの結構安いので6800円となっております。","6800円;6800","0.0;0.0"
"こちらもいろいろ昨日は、ついているのではい","",""
"こちらもさっきの自動機能ってのはついてるんです。","自動機能","1.0"
"こちらもら9種類の撮影モードがねの機能としてついておりますこちらと同じようにビーチやゆきや夜景などを撮影する時に使っていただけるものとなっておりますねあとこちらには向こうにない機能としまして13種類種類のピクチャーエフェクトという機能はついておりましてあのバックをぼかしたりだとか水墨画のようにちょっとこうを加工する機能が付いておりますのではい大変あのできた撮影した写真が楽しめるものとなっております","機能;機能;機能;撮影モード;もの;ゆきや夜景;機能;もの;ビーチ;種類;バック;水墨画;写真;向こう;ピクチャーエフェクト;9;13","0.13463129103183746;0.10242602974176407;0.09960360080003738;0.06875120103359222;0.06719611585140228;0.06483980268239975;0.06301546841859818;0.06165267527103424;0.0578128919005394;0.05443454161286354;0.049078356474637985;0.049078356474637985;0.047725193202495575;0.046401068568229675;0.03335341066122055;0.0;0.0"
"こちらもカメラいるとこがたくさんあって、価格もリーズナブルで結構人気なんですピンクとか。","ピンク;価格","0.5152895450592041;0.4847104847431183"
"こちらもコンパクトカメラになったりますので、初心者向けになっております。肌色がバリエーションがあって明るいので用意してますのでちょっとファッション感覚でも持っていただけるかなと思いま","コンパクトカメラ;初心者;肌色;バリエーション;ファッション感覚","0.2881809175014496;0.25059789419174194;0.15555867552757263;0.15555867552757263;0.1501038521528244"
"こちらもコンパクトカメラになっておりましてまあの解像度は一番低いと言いますか当店では一番お求めやすい価格になっておりますので幕張ではこのくらいなんですけども一番いいので24メガピクセルっていうものがありましたこちらミラーレス一眼カメラでご用意しております","コンパクトカメラ;ミラーレス一眼カメラ;解像度;もの;ピクセル;店;価格;幕張;24;一;一;一","0.17712417244911194;0.14455296099185944;0.13473960757255554;0.13473960757255554;0.11629074811935425;0.11241692304611206;0.09865856170654297;0.08147741854190826;0.0;0.0;0.0;0.0"
